unit,esti,re
1,10.0,1.3058182100417883
2,2.0,1.092060454442846
3,0.0,inf
4,0.25,0.815879091114308
5,0.6,0.9321546124923171
6,0.5,0.9079395455571541
7,0.2857142857142857,0.8336140845358625
8,2.5,1.1216973011560962
9,2.111111111111111,1.0992414011453666
10,1.9,1.085247927286097
11,1.8181818181818181,1.0794018175589342
12,2.25,1.1077038272968265
13,2.076923076923077,1.0970729421833518
14,2.0714285714285716,1.096721113736324
15,0.8,0.9703631532867498
16,0.6875,0.9502350291543159
17,0.6470588235294118,0.9421831602419471
18,0.7222222222222222,0.9567789714650613
19,1.0,1.0
20,1.0,1.0
21,0.9523809523809523,0.9935199264863914
22,0.8636363636363636,0.9805288359593394
23,0.782608695652174,0.9674440212503865
24,0.5416666666666666,0.9185704306706286
25,0.52,0.9131486508925415
26,0.5,0.9079395455571541
27,0.48148148148148145,0.9029270578166481
28,0.39285714285714285,0.8759095681330243
29,0.3793103448275862,0.8712489088395464
30,0.36666666666666664,0.8667462687926524
31,0.3548387096774194,0.8623912831924133
32,0.34375,0.85817457471147
33,0.30303030303030304,0.841428995024829
34,0.29411764705882354,0.8374640689151895
35,0.2857142857142857,0.8336140845358625
36,0.2222222222222222,0.8002357182603275
37,0.21621621621621623,0.7965967190899234
38,0.2631578947368421,0.822691618271057
39,0.2564102564102564,0.8192416798601032
40,0.225,0.8018856172550384
41,0.21951219512195122,0.7986060639361973
42,0.21428571428571427,0.7954055437414298
43,0.20930232558139536,0.7922803369374453
44,0.20454545454545456,0.7892269803711268
45,0.2,0.7862422444010578
46,0.1956521739130435,0.7833231123646948
47,0.19148936170212766,0.7804667622539092
48,0.16666666666666666,0.7620271774658949
49,0.16326530612244897,0.759288623514571
50,0.16,0.7566053976878077
51,0.1568627450980392,0.7539753085535261
52,0.15384615384615385,0.7513962923524202
53,0.1509433962264151,0.7488664032689769
54,0.14814814814814814,0.7463838046119143
55,0.14545454545454545,0.743946760803896
56,0.14285714285714285,0.7415536300930166
57,0.14035087719298245,0.7392028579093936
58,0.13793103448275862,0.7368929707995385
59,0.13559322033898305,0.7346225708792377
60,0.13333333333333333,0.7323903307526446
61,0.13114754098360656,0.7301949888513443
62,0.12903225806451613,0.7280353451524054
63,0.12698412698412698,0.725910257239036
64,0.125,0.7238186366714621
65,0.12307692307692308,0.7217594456391699
66,0.12121212121212122,0.719731693868733
67,0.23880597014925373,0.8097948902070057
68,0.23529411764705882,0.8078272222019394
69,0.2318840579710145,0.8058882803051468
70,0.22857142857142856,0.8039772378226123
71,0.22535211267605634,0.8020933032411999
72,0.2222222222222222,0.8002357182603275
73,0.2191780821917808,0.7984037559594008
74,0.21621621621621623,0.7965967190899234
75,0.10666666666666667,0.7027534840393945
76,0.10526315789473684,0.7009943171149609
77,0.1038961038961039,0.6992581464958547
78,0.10256410256410256,0.6975443787040069
79,0.10126582278481013,0.6958524429432902
80,0.1,0.694181789958212
81,0.09876543209876543,0.6925318909635011
82,0.0975609756097561,0.6909022366393708
83,0.0963855421686747,0.6892923361876777
84,0.09523809523809523,0.6877017164446034
85,0.09411764705882353,0.6861299210458431
86,0.09302325581395349,0.6845765096406187
87,0.09195402298850575,0.6830410571511254
88,0.09090909090909091,0.6815231530743002
89,0.0898876404494382,0.6800224008230413
90,0.08888888888888889,0.6785384171042315
91,0.08791208791208792,0.6770708313311288
92,0.08695652173913043,0.6756192850678682
93,0.08602150537634409,0.6741834315039922
94,0.0851063829787234,0.6727629349570826
95,0.08421052631578947,0.6713574704017106
96,0.08333333333333333,0.6699667230230489
97,0.08247422680412371,0.6685903877936158
98,0.08163265306122448,0.667228169071725
99,0.08080808080808081,0.6658797802203197
100,0.1,0.694181789958212
101,0.09900990099009901,0.6928602351630826
102,0.09803921568627451,0.6915517008239305
103,0.0970873786407767,0.690255932876972
104,0.09615384615384616,0.6889726846228243
105,0.09523809523809523,0.6877017164446034
106,0.09433962264150944,0.6864427955393813
107,0.09345794392523364,0.6851956956622554
108,0.09259259259259259,0.6839601968823186
109,0.09174311926605505,0.6827360853498776
110,0.09090909090909091,0.6815231530743002
111,0.09009009009009009,0.6803211977119145
112,0.08928571428571429,0.6791300223634209
113,0.08849557522123894,0.6779494353803083
114,0.08771929824561403,0.6767792501797978
115,0.08695652173913043,0.6756192850678682
116,0.08620689655172414,0.6744693630699429
117,0.08547008547008547,0.6733293117688439
118,0.0847457627118644,0.6721989631496419
119,0.08403361344537816,0.671078153451052
120,0.08333333333333333,0.6699667230230489
121,0.08264462809917356,0.6688645161903886
122,0.08196721311475409,0.6677713811217485
123,0.08130081300813008,0.6666871697042077
124,0.08870967741935484,0.6782703743067213
125,0.088,0.6772035801288733
126,0.0873015873015873,0.6761452863933519
127,0.08661417322834646,0.6750953587036956
128,0.0859375,0.674053665825778
129,0.08527131782945736,0.6730200795893673
130,0.08461538461538462,0.6719944747934858
131,0.08396946564885496,0.6709767291153965
132,0.08333333333333333,0.6699667230230489
133,0.08270676691729323,0.6689643396908312
134,0.022388059701492536,0.49540498608403516
135,0.022222222222222223,0.49441750821853947
136,0.022058823529411766,0.49343731807896873
137,0.021897810218978103,0.49246430888401266
138,0.021739130434782608,0.49149837618217623
139,0.02158273381294964,0.49053941778449184
140,0.02142857142857143,0.4895873336996417
141,0.02127659574468085,0.48864202607139084
142,0.02112676056338028,0.4877033991182293
143,0.02097902097902098,0.4867713590751337
144,0.020833333333333332,0.48584581413735695
145,0.020689655172413793,0.4849266744061637
146,0.02054794520547945,0.4840138518364303
147,0.02040816326530612,0.48310726018603306
148,0.02027027027027027,0.48220681496695283
149,0.020134228187919462,0.48131243339802465
150,0.02,0.4804240343592698
151,0.019867549668874173,0.4795415383477425
152,0.019736842105263157,0.47866486743483616
153,0.0196078431372549,0.4777939452249882
154,0.01948051948051948,0.47692869681573
155,0.01935483870967742,0.4760690487590306
156,0.019230769230769232,0.47521492902388235
157,0.01910828025477707,0.47436626696008266
158,0.0189873417721519,0.47352299326316566
159,0.018867924528301886,0.47268503994043903
160,0.01875,0.47185234027808726
161,0.018633540372670808,0.471024828809298
162,0.018518518518518517,0.4702024412833764
163,0.018404907975460124,0.46938511463580956
164,0.018292682926829267,0.46857278695924615
165,0.01818181818181818,0.46776539747535806
166,0.018072289156626505,0.466962886507553
167,0.017964071856287425,0.4661651954545056
168,0.017857142857142856,0.4653722667644786
169,0.01775147928994083,0.4645840439104077
170,0.01764705882352941,0.4638004713657185
171,0.017543859649122806,0.4630214945808557
172,0.01744186046511628,0.46224705996049403
173,0.017341040462427744,0.4614771148414119
174,0.017241379310344827,0.4607116074710007
175,0.017142857142857144,0.45995048698639146
176,0.017045454545454544,0.4591937033941756
177,0.01694915254237288,0.4584412075506997
178,0.016853932584269662,0.4576929511429165
179,0.01675977653631285,0.45694888666977135
180,0.016666666666666666,0.45620896742410677
181,0.016574585635359115,0.4554731474750701
182,0.016483516483516484,0.454741381651004
183,0.01639344262295082,0.45401362552280633
184,0.016304347826086956,0.45328983538774353
185,0.016216216216216217,0.45256996825370255
186,0.016129032258064516,0.45185398182386755
187,0.016042780748663103,0.4511418344818069
188,0.015957446808510637,0.45043348527695815
189,0.015873015873015872,0.44972889391049814
190,0.015789473684210527,0.44902802072158604
191,0.015706806282722512,0.44833082667396656
192,0.015625,0.4476372733429243
193,0.015544041450777202,0.4469473229025759
194,0.015463917525773196,0.4462609381134912
195,0.015384615384615385,0.4455780823106321
196,0.015306122448979591,0.4448987193916004
197,0.015228426395939087,0.44422281380518436
198,0.015151515151515152,0.4435503305401951
199,0.005025125628140704,0.2969688670233256
200,0.005,0.2963031254735779
201,0.004975124378109453,0.2956407043443627
202,0.0049504950495049506,0.29498157067844855
203,0.0049261083743842365,0.29432569200686326
204,0.004901960784313725,0.2936730363392963
205,0.004878048780487805,0.2930235721547367
206,0.0048543689320388345,0.29237726839233785
207,0.004830917874396135,0.2917340944425038
208,0.004807692307692308,0.2910940201381904
209,0.004784688995215311,0.29045701574641514
210,0.004761904761904762,0.28982305195996927
211,0.004739336492890996,0.28919209988932726
212,0.0047169811320754715,0.28856413105474715
213,0.004694835680751174,0.28793911737855676
214,0.004672897196261682,0.28731703117762125
215,0.004651162790697674,0.28669784515598473
216,0.004629629629629629,0.28608153239768447
217,0.004608294930875576,0.28546806635973004
218,0.0045871559633027525,0.2848574208652437
219,0.0045662100456621,0.28424957009675783
220,0.004545454545454545,0.2836444885896661
221,0.004524886877828055,0.2830421512258217
222,0.0045045045045045045,0.28244253322728036
223,0.004484304932735426,0.28184561015018517
224,0.004464285714285714,0.2812513578787868
225,0.0044444444444444444,0.2806597526195973
226,0.004424778761061947,0.28007077089567417
227,0.004405286343612335,0.2794843895410297
228,0.0043859649122807015,0.2789005856951637
229,0.004366812227074236,0.27831933679771576
230,0.004347826086956522,0.27774062058323407
231,0.004329004329004329,0.2771644150760576
232,0.004310344827586207,0.27659069858530877
233,0.004291845493562232,0.27601944969999426
234,0.004273504273504274,0.2754506472842098
235,0.00425531914893617,0.2748842704724487
236,0.00423728813559322,0.2743202986650078
237,0.004219409282700422,0.2737587115234931
238,0.004201680672268907,0.273199488966418
239,0.0041841004184100415,0.27264261116489447
240,0.004166666666666667,0.27208805853841483
241,0.004149377593360996,0.27153581175072006
242,0.004132231404958678,0.27098585170575445
243,0.00411522633744856,0.270438159543704
244,0.004098360655737705,0.2698927166371144
245,0.004081632653061225,0.26934950458709106
246,0.0040650406504065045,0.2688085052195737
247,0.0,inf
248,0.0,inf
249,0.0,inf
250,0.0,inf
251,0.0,inf
252,0.0,inf
253,0.0,inf
254,0.0,inf
255,0.0,inf
256,0.0,inf
257,0.0,inf
258,0.0,inf
259,0.0,inf
260,0.0,inf
261,0.0,inf
262,0.0,inf
263,0.0,inf
264,0.0,inf
265,0.0,inf
266,0.0,inf
267,0.0,inf
268,0.0,inf
269,0.0,inf
270,0.0,inf
271,0.0,inf
272,0.0,inf
273,0.0,inf
274,0.0,inf
275,0.0,inf
276,0.0,inf
277,0.0,inf
278,0.0,inf
279,0.0,inf
280,0.0,inf
281,0.0,inf
282,0.0,inf
283,0.0,inf
284,0.0,inf
285,0.0,inf
286,0.0,inf
287,0.0,inf
288,0.0,inf
289,0.0,inf
290,0.0,inf
291,0.0,inf
292,0.0,inf
293,0.0,inf
294,0.0,inf
295,0.0,inf
296,0.0,inf
297,0.0,inf
298,0.0,inf
299,0.0,inf
300,0.0,inf
301,0.0,inf
302,0.0,inf
303,0.0,inf
304,0.0,inf
305,0.0,inf
306,0.0,inf
307,0.0,inf
308,0.0,inf
309,0.0,inf
310,0.0,inf
311,0.0,inf
312,0.0,inf
313,0.0,inf
314,0.0,inf
315,0.0,inf
316,0.0,inf
317,0.0,inf
318,0.0,inf
319,0.0,inf
320,0.0,inf
321,0.0,inf
322,0.0,inf
323,0.0,inf
324,0.0,inf
325,0.0,inf
326,0.0,inf
327,0.0,inf
328,0.0,inf
329,0.0,inf
330,0.0,inf
331,0.0,inf
332,0.0,inf
333,0.0,inf
334,0.0,inf
335,0.0,inf
336,0.0,inf
337,0.0,inf
338,0.0,inf
339,0.0,inf
340,0.0,inf
341,0.0,inf
342,0.0,inf
343,0.0,inf
344,0.0,inf
345,0.0,inf
346,0.0,inf
347,0.0,inf
348,0.0,inf
349,0.0,inf
350,0.0,inf
351,0.0,inf
352,0.0,inf
353,0.0,inf
354,0.0,inf
355,0.0,inf
356,0.0,inf
357,0.0,inf
358,0.0,inf
359,0.0,inf
360,0.0,inf
361,0.0,inf
362,0.0,inf
363,0.0,inf
364,0.0,inf
365,0.0,inf
366,0.0,inf
367,0.0,inf
368,0.0,inf
369,0.0,inf
370,0.0,inf
371,0.0,inf
372,0.0,inf
373,0.0,inf
374,0.0,inf
375,0.0,inf
376,0.0,inf
377,0.0,inf
378,0.0,inf
379,0.0,inf
380,0.0,inf
381,0.0,inf
382,0.0,inf
383,0.0,inf
384,0.0,inf
385,0.0,inf
386,0.0,inf
387,0.0,inf
388,0.0,inf
389,0.0,inf
390,0.0,inf
391,0.0,inf
392,0.0,inf
393,0.0,inf
394,0.0,inf
395,0.0,inf
396,0.0,inf
397,0.0,inf
398,0.0,inf
399,0.0,inf
400,0.0,inf
401,0.0,inf
402,0.0,inf
403,0.0,inf
404,0.0,inf
405,0.0,inf
406,0.0,inf
407,0.0,inf
408,0.0,inf
409,0.0,inf
410,0.0,inf
411,0.0,inf
412,0.0,inf
413,0.0,inf
414,0.0,inf
415,0.0,inf
416,0.0,inf
417,0.0,inf
418,0.0,inf
419,0.0,inf
420,0.0,inf
421,0.0,inf
422,0.0,inf
423,0.0,inf
424,0.0,inf
425,0.0,inf
426,0.0,inf
427,0.0,inf
428,0.0,inf
429,0.0,inf
430,0.0,inf
431,0.0,inf
432,0.0,inf
433,0.0,inf
434,0.0,inf
435,0.0,inf
436,0.0,inf
437,0.0,inf
438,0.0,inf
439,0.0,inf
440,0.0,inf
441,0.0,inf
442,0.0,inf
443,0.0,inf
444,0.0,inf
445,0.0,inf
446,0.0,inf
447,0.0,inf
448,0.0,inf
449,0.0,inf
450,0.0,inf
451,0.0,inf
452,0.0,inf
453,0.0,inf
454,0.0,inf
455,0.0,inf
456,0.0,inf
457,0.0,inf
458,0.0,inf
459,0.0,inf
460,0.0,inf
461,0.0,inf
462,0.0,inf
463,0.0,inf
464,0.0,inf
465,0.0,inf
466,0.0,inf
467,0.0,inf
468,0.0,inf
469,0.0,inf
470,0.0,inf
471,0.0,inf
472,0.0,inf
473,0.0,inf
474,0.0,inf
475,0.0,inf
476,0.0,inf
477,0.0,inf
478,0.0,inf
479,0.0,inf
480,0.0,inf
481,0.0,inf
482,0.0,inf
483,0.0,inf
484,0.0,inf
485,0.0,inf
486,0.0,inf
487,0.0,inf
488,0.0,inf
489,0.0,inf
490,0.0,inf
491,0.0,inf
492,0.0,inf
493,0.0,inf
494,0.0,inf
495,0.0,inf
496,0.0,inf
497,0.0,inf
498,0.0,inf
499,0.0,inf
500,0.0,inf
501,0.0,inf
502,0.0,inf
503,0.0,inf
504,0.0,inf
505,0.0,inf
506,0.0,inf
507,0.0,inf
508,0.0,inf
509,0.0,inf
510,0.0,inf
511,0.0,inf
512,0.0,inf
513,0.0,inf
514,0.0,inf
515,0.0,inf
516,0.0,inf
517,0.0,inf
518,0.0,inf
519,0.0,inf
520,0.0,inf
521,0.0,inf
522,0.0,inf
523,0.0,inf
524,0.0,inf
525,0.0,inf
526,0.0,inf
527,0.0,inf
528,0.0,inf
529,0.0,inf
530,0.0,inf
531,0.0,inf
532,0.0,inf
533,0.0,inf
534,0.0,inf
535,0.0,inf
536,0.0,inf
537,0.0,inf
538,0.0,inf
539,0.0,inf
540,0.0,inf
541,0.0,inf
542,0.0,inf
543,0.0,inf
544,0.0,inf
545,0.0,inf
546,0.0,inf
547,0.0,inf
548,0.0,inf
549,0.0,inf
550,0.0,inf
551,0.0,inf
552,0.0,inf
553,0.0,inf
554,0.0,inf
555,0.0,inf
556,0.0,inf
557,0.0,inf
558,0.0,inf
559,0.0,inf
560,0.0,inf
561,0.0,inf
562,0.0,inf
563,0.0,inf
564,0.0,inf
565,0.0,inf
566,0.0,inf
567,0.0,inf
568,0.0,inf
569,0.0,inf
570,0.0,inf
571,0.0,inf
572,0.0,inf
573,0.0,inf
574,0.0,inf
575,0.0,inf
576,0.0,inf
577,0.0,inf
578,0.0,inf
579,0.0,inf
580,0.0,inf
581,0.0,inf
582,0.0,inf
583,0.0,inf
584,0.0,inf
585,0.0,inf
586,0.0,inf
587,0.0,inf
588,0.0,inf
589,0.0,inf
590,0.0,inf
591,0.0,inf
592,0.0,inf
593,0.0,inf
594,0.0,inf
595,0.0,inf
596,0.0,inf
597,0.0,inf
598,0.0,inf
599,0.0,inf
600,0.0,inf
601,0.0,inf
602,0.0,inf
603,0.0,inf
604,0.0,inf
605,0.0,inf
606,0.0,inf
607,0.0,inf
608,0.0,inf
609,0.0,inf
610,0.0,inf
611,0.0,inf
612,0.0,inf
613,0.0,inf
614,0.0,inf
615,0.0,inf
616,0.0,inf
617,0.0,inf
618,0.0,inf
619,0.0,inf
620,0.0,inf
621,0.0,inf
622,0.0,inf
623,0.0,inf
624,0.0,inf
625,0.0,inf
626,0.0,inf
627,0.0,inf
628,0.0,inf
629,0.0,inf
630,0.0,inf
631,0.0,inf
632,0.0,inf
633,0.0,inf
634,0.0,inf
635,0.0,inf
636,0.0,inf
637,0.0,inf
638,0.0,inf
639,0.0,inf
640,0.0,inf
641,0.0,inf
642,0.0,inf
643,0.0,inf
644,0.0,inf
645,0.0,inf
646,0.0,inf
647,0.0,inf
648,0.0,inf
649,0.0,inf
650,0.0,inf
651,0.0,inf
652,0.0,inf
653,0.0,inf
654,0.0,inf
655,0.0,inf
656,0.0,inf
657,0.0,inf
658,0.0,inf
659,0.0,inf
660,0.0,inf
661,0.0,inf
662,0.0,inf
663,0.0,inf
664,0.0,inf
665,0.0,inf
666,0.0,inf
667,0.0,inf
